"STATUTORY WARRANTY","GESETZLICHE GEWÄHRLEISTUNG"
"Statutory Warranty","Gesetzliche Gewährleistung"
"At least two years statutory warranty of conformity","Mindestens zwei Jahre gesetzliche Gewährleistung der Vertragsmäßigkeit"
"for goods sold in the European Union.","für Waren, die in der Europäischen Union verkauft werden."
"Consumers can assert their rights under statutory warranty law, e.g., if the goods:","Verbraucherinnen und Verbraucher können ihre Rechte im Rahmen des gesetzlichen Gewährleistungsrechts geltend machen, z. B. wenn die Waren:"
"do not correspond to the description,","nicht der Beschreibung entsprechen,"
"do not function in accordance with their intended purpose.","nicht bestimmungsgemäß funktionieren."
"Sellers are liable","Verkäufer haften"
"for any lack of conformity that existed at the time the goods were delivered and becomes apparent within the statutory warranty period. In such cases, sellers must offer:","für jede Vertragswidrigkeit, die zum Zeitpunkt der Lieferung der Waren bestand und innerhalb des Zeitraums der gesetzlichen Gewährleistung erkennbar wird. Verkäufer müssen in solchen Fällen Folgendes anbieten:"
"free repair","kostenlose Nachbesserung"
"or","oder"
"free replacement","kostenlose Ersatzlieferung"
"in certain cases, a","in bestimmten Fällen eine"
"price reduction","Preisminderung"
"or a","oder eine"
"full refund","vollständige Erstattung"
"of the purchase price.","des Kaufpreises."
"In some countries, a longer period applies for the statutory warranty. For second-hand goods, a shorter period may apply, but not less than one year.","In einigen Ländern gilt ein längerer Zeitraum für die gesetzliche Gewährleistung. Für gebrauchte Waren kann ein kürzerer Zeitraum gelten, jedoch nicht weniger als ein Jahr."
"For more information about your rights in a specific country, scan the QR code below or ask the seller.","Für weitere Informationen zu Ihren Rechten in einem bestimmten Land scannen Sie den nachstehenden QR-Code oder fragen Sie den Verkäufer."
"What to do if you receive non-conforming goods?","Was ist zu tun, wenn Sie vertragswidrige Waren erhalten?"
"Report the problem to the seller as soon as possible.","Melden Sie dem Verkäufer das Problem so bald wie möglich."
"Present proof of purchase, e.g. receipt, invoice or bank statement.","Legen Sie einen Kaufnachweis vor, z. B. die Quittung, Rechnung oder einen Kontoauszug."
"Sellers and manufacturers may also grant commercial guarantees, which apply independently of the statutory warranty. This GARAN marking indicates, for example, that the manufacturer grants a commercial guarantee of durability at no additional cost covering the entire goods.","Verkäufer und Hersteller können auch gewerbliche Garantien gewähren, die unabhängig von der gesetzlichen Gewährleistung gelten. Diese GARAN-Kennzeichnung zeigt beispielsweise, dass der Hersteller eine gewerbliche Haltbarkeitsgarantie ohne zusätzliche Kosten gewährt, die die gesamte Ware abdeckt."
"Free manufacturer durability guarantee (%1 years)","Kostenlose Haltbarkeitsgarantie des Herstellers (%1 Jahre)"
"Brand/Trademark","Marke/Handelsmarke"
"Model identifier","Modellkennung"

