"STATUTORY WARRANTY","STATUTORY WARRANTY"
"Statutory Warranty","Statutory Warranty"
"At least two years statutory warranty of conformity","At least two years statutory warranty of conformity"
"for goods sold in the European Union.","for goods sold in the European Union."
"Consumers can assert their rights under statutory warranty law, e.g., if the goods:","Consumers can assert their rights under statutory warranty law, e.g., if the goods:"
"do not correspond to the description,","do not correspond to the description,"
"do not function in accordance with their intended purpose.","do not function in accordance with their intended purpose."
"Sellers are liable","Sellers are liable"
"for any lack of conformity that existed at the time the goods were delivered and becomes apparent within the statutory warranty period. In such cases, sellers must offer:","for any lack of conformity that existed at the time the goods were delivered and becomes apparent within the statutory warranty period. In such cases, sellers must offer:"
"free repair","free repair"
"or","or"
"free replacement","free replacement"
"in certain cases, a","in certain cases, a"
"price reduction","price reduction"
"or a","or a"
"full refund","full refund"
"of the purchase price.","of the purchase price."
"In some countries, a longer period applies for the statutory warranty. For second-hand goods, a shorter period may apply, but not less than one year.","In some countries, a longer period applies for the statutory warranty. For second-hand goods, a shorter period may apply, but not less than one year."
"For more information about your rights in a specific country, scan the QR code below or ask the seller.","For more information about your rights in a specific country, scan the QR code below or ask the seller."
"What to do if you receive non-conforming goods?","What to do if you receive non-conforming goods?"
"Report the problem to the seller as soon as possible.","Report the problem to the seller as soon as possible."
"Present proof of purchase, e.g. receipt, invoice or bank statement.","Present proof of purchase, e.g. receipt, invoice or bank statement."
"Sellers and manufacturers may also grant commercial guarantees, which apply independently of the statutory warranty. This GARAN marking indicates, for example, that the manufacturer grants a commercial guarantee of durability at no additional cost covering the entire goods.","Sellers and manufacturers may also grant commercial guarantees, which apply independently of the statutory warranty. This GARAN marking indicates, for example, that the manufacturer grants a commercial guarantee of durability at no additional cost covering the entire goods."
"Free manufacturer durability guarantee (%1 years)","Free manufacturer durability guarantee (%1 years)"
"Brand/Trademark","Brand/Trademark"
"Model identifier","Model identifier"
